Name,Country,Type,Levels,Typical_Academic_Requirement,Typical_English_Requirement,Estimated_Tuition_USD_per_year,Notes_for_International_Students
Université Paris Nanterre,France,University,Bachelor|Master,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Université Paris-Est Créteil (UPEC),France,University,Bachelor|Master,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Université Clermont Auvergne,France,University,Bachelor|Master,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Université de Bourgogne,France,University,Bachelor|Master,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Université de Lorraine,France,University,Bachelor|Master,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Université Gustave Eiffel,France,University,Bachelor|Master,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Université de Reims Champagne-Ardenne,France,University,Bachelor|Master,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
IÉSEG School of Management,France,College/Pathway,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Toulouse Business School (TBS),France,College/Pathway,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Paris School of Business,France,College/Pathway,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
ISC Paris Business School,France,College/Pathway,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Institut Polytechnique de Paris (cluster),France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Ecole des Hautes Études en Sciences Sociales (EHESS),France,College/Pathway,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Institut Mines-Télécom (IMT) schools,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
ESMOD (fashion schools),France,College/Pathway,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
ENSA (architecture schools),France,College/Pathway,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
IUTs (various),France,College/Pathway,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
BTS programs (various),France,College/Pathway,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Alliance Française (language schools),France,College/Pathway,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Campus France partner language schools (various),France,College/Pathway,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
AccordLanguage centres (various),France,College/Pathway,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
INALCO,France,College/Pathway,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Ecole de Management de Normandie,France,College/Pathway,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
PSB Paris School of Business,France,College/Pathway,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France College 1,France,College/Pathway,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France College 2,France,College/Pathway,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France College 3,France,College/Pathway,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France College 4,France,College/Pathway,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France College 5,France,College/Pathway,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 66,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 67,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 68,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 69,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 70,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 71,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 72,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 73,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 74,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 75,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 76,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 77,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 78,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 79,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 80,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 81,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 82,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 83,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 84,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 85,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 86,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 87,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 88,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 89,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 90,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 91,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 92,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 93,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 94,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 95,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 96,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 97,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 98,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 99,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 100,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 101,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 102,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 103,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 104,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 105,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 106,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 107,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 108,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 109,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 110,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 111,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 112,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 113,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 114,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 115,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 116,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 117,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 118,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 119,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 120,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 121,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 122,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 123,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 124,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 125,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 126,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 127,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 128,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 129,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 130,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 131,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 132,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
Regional France Institution 133,France,University,Diploma|Language,Baccalauréat / Bachelor's for Master; selective Grandes Écoles have competitive selection,For English-track programs IELTS 6.0–7.0; French-track requires DELF/DALF or B2+ in many cases,"$3,000–30,000",International students: many programs have low tuition for EU but higher fees for internationals; check Campus France pathways
